seq,commit_ts,op,tarjeta,perfil,zona_residencia,estado
33,2026-06-01T16:24:00,INSERT,MR0041233,trabajador,Zona 6,ACTIVA
34,2026-06-01T21:19:00,INSERT,0000007612,trabajador,Zona 6,ACTIVA
35,2026-06-01T10:41:00,INSERT,0000053832,trabajador,Zona 6,ACTIVA
36,2026-06-01T10:03:00,INSERT,TC-00004944,trabajador,Villa Nueva,ACTIVA
37,2026-06-01T08:25:00,INSERT,MR0000291,general,Zona 12,ACTIVA
38,2026-06-01T10:06:00,INSERT,0000058620,general,Zona 1,ACTIVA
39,2026-06-01T21:13:00,INSERT,TC-00036379,trabajador,Zona 12,ACTIVA
40,2026-06-01T07:03:00,INSERT,TC-00038383,estudiante,San Miguel Petapa,ACTIVA
41,2026-06-01T20:25:00,INSERT,TC-00029776,general,San Miguel Petapa,ACTIVA
42,2026-06-01T03:21:00,INSERT,SIN-TARJETA,general,Zona 1,ACTIVA
43,2026-06-01T01:21:00,INSERT,TC-00017416,general,Zona 10,ACTIVA
44,2026-06-01T07:04:00,INSERT,TC-00026591,trabajador,San Miguel Petapa,ACTIVA
45,2026-06-01T22:22:00,INSERT,TC-00023131,general,Zona 8,ACTIVA
46,2026-06-01T19:29:00,INSERT,TC-00046491,trabajador,Mixco,ACTIVA
47,2026-06-01T22:38:00,INSERT,TC-00027033,trabajador,Zona 12,ACTIVA
48,2026-06-01T07:51:00,INSERT,TC-00001613,trabajador,Zona 7,ACTIVA
49,2026-06-01T05:06:00,INSERT,TC-00000613,general,Zona 11,ACTIVA
50,2026-06-01T09:03:00,INSERT,TC-00004087,trabajador,Zona 6,ACTIVA
51,2026-06-01T23:52:00,INSERT,SIN-TARJETA,trabajador,Zona 6,ACTIVA
52,2026-06-01T14:18:00,INSERT,0000049965,trabajador,Zona 6,ACTIVA
53,2026-06-01T03:17:00,INSERT,TC-00000035,estudiante,Zona 17,ACTIVA
54,2026-06-01T14:57:00,INSERT,TC-00052719,trabajador,San Miguel Petapa,ACTIVA
55,2026-06-01T17:22:00,INSERT,TC-00006236,adulto_mayor,Zona 4,ACTIVA
56,2026-06-01T05:54:00,INSERT,MR0010476,trabajador,San Miguel Petapa,ACTIVA
57,2026-06-01T04:09:00,INSERT,0000047324,trabajador,Zona 4,ACTIVA
58,2026-06-01T22:07:00,INSERT,SIN-TARJETA,trabajador,Mixco,ACTIVA
59,2026-06-01T07:28:00,INSERT,SIN-TARJETA,trabajador,Zona 12,ACTIVA
60,2026-06-01T22:07:00,INSERT,TC-00036701,trabajador,Zona 6,ACTIVA
61,2026-06-01T17:44:00,INSERT,TC-00009206,general,Zona 1,ACTIVA
62,2026-06-01T23:44:00,INSERT,0000001856,estudiante,Zona 1,ACTIVA
63,2026-06-01T02:56:00,INSERT,TC-00011441,trabajador,Santa Catarina Pinula,ACTIVA
64,2026-06-01T21:37:00,INSERT,TC-00043506,adulto_mayor,Zona 13,ACTIVA
65,2026-06-01T14:29:00,INSERT,TC-00018080,trabajador,Santa Catarina Pinula,ACTIVA
66,2026-06-01T11:34:00,INSERT,TC-00036670,general,Santa Catarina Pinula,ACTIVA
67,2026-06-01T22:55:00,INSERT,TC-00056925,trabajador,Zona 9,ACTIVA
68,2026-06-01T10:57:00,INSERT,TC-00003921,trabajador,Zona 6,ACTIVA
69,2026-06-01T13:45:00,INSERT,TC-00057835,trabajador,Santa Catarina Pinula,ACTIVA
70,2026-06-01T18:56:00,INSERT,MR0013945,adulto_mayor,Santa Catarina Pinula,ACTIVA
71,2026-06-01T04:21:00,INSERT,TC-00031737,estudiante,Zona 8,ACTIVA
72,2026-06-01T05:30:00,INSERT,TC-00039124,trabajador,Zona 13,ACTIVA
73,2026-06-01T14:10:00,INSERT,MR0031064,trabajador,San Miguel Petapa,ACTIVA
74,2026-06-01T09:21:00,INSERT,TC-00022308,trabajador,Zona 1,ACTIVA
75,2026-06-01T23:05:00,INSERT,TC-00046785,adulto_mayor,Zona 6,ACTIVA
76,2026-06-01T19:39:00,INSERT,0000032830,trabajador,Zona 13,ACTIVA
77,2026-06-01T21:34:00,INSERT,TC-00001030,trabajador,Zona 4,ACTIVA
78,2026-06-01T20:35:00,INSERT,TC-00018272,trabajador,Zona 10,ACTIVA
79,2026-06-01T14:48:00,INSERT,0000037851,trabajador,Villa Nueva,ACTIVA
80,2026-06-01T22:39:00,INSERT,TC-00049324,trabajador,Zona 17,ACTIVA
81,2026-06-01T17:19:00,INSERT,TC-00034642,trabajador,Villa Nueva,ACTIVA
82,2026-06-01T11:11:00,INSERT,TC-00051159,trabajador,Zona 6,ACTIVA
83,2026-06-01T23:48:00,INSERT,TC-00004597,adulto_mayor,Zona 9,ACTIVA
84,2026-06-01T03:08:00,INSERT,TC-00059469,trabajador,Zona 18,ACTIVA
85,2026-06-01T02:04:00,INSERT,0000046567,estudiante,Zona 13,ACTIVA
86,2026-06-01T01:32:00,INSERT,TC-00047122,trabajador,Mixco,ACTIVA
87,2026-06-01T08:14:00,INSERT,TC-00056885,trabajador,San Miguel Petapa,ACTIVA
88,2026-06-01T15:32:00,INSERT,TC-00032937,trabajador,Zona 6,ACTIVA
89,2026-06-01T12:13:00,INSERT,TC-00001646,estudiante,Zona 4,ACTIVA
90,2026-06-01T03:37:00,INSERT,TC-00047144,trabajador,Mixco,ACTIVA
91,2026-06-01T02:28:00,INSERT,0000039088,estudiante,Zona 13,ACTIVA
92,2026-06-01T05:37:00,INSERT,TC-00001317,trabajador,Zona 18,ACTIVA
93,2026-06-01T04:06:00,INSERT,TC-00034303,trabajador,Mixco,ACTIVA
94,2026-06-01T14:09:00,INSERT,0000049602,trabajador,San Miguel Petapa,ACTIVA
95,2026-06-01T23:02:00,INSERT,TC-00042487,general,Mixco,ACTIVA
96,2026-06-01T02:48:00,INSERT,TC-00048193,trabajador,Zona 7,ACTIVA
97,2026-06-01T18:56:00,INSERT,SIN-TARJETA,trabajador,Zona 7,ACTIVA
98,2026-06-01T10:33:00,INSERT,0000026085,trabajador,Zona 12,ACTIVA
99,2026-06-01T11:12:00,INSERT,0000007755,trabajador,Zona 17,ACTIVA
100,2026-06-01T22:58:00,INSERT,TC-00048090,trabajador,San Miguel Petapa,ACTIVA
101,2026-06-01T02:56:00,INSERT,0000011767,trabajador,Zona 6,ACTIVA
102,2026-06-01T07:53:00,INSERT,TC-00024407,trabajador,Santa Catarina Pinula,ACTIVA
103,2026-06-01T16:44:00,INSERT,TC-00017411,trabajador,Zona 4,ACTIVA
104,2026-06-01T12:45:00,INSERT,0000024640,estudiante,Zona 6,ACTIVA
105,2026-06-01T20:46:00,INSERT,0000056223,adulto_mayor,Zona 9,ACTIVA
106,2026-06-01T15:39:00,INSERT,0000059188,trabajador,Zona 11,ACTIVA
107,2026-06-01T09:58:00,INSERT,TC-00020851,trabajador,Zona 10,ACTIVA
108,2026-06-01T23:52:00,INSERT,SIN-TARJETA,trabajador,Mixco,ACTIVA
109,2026-06-01T00:51:00,INSERT,MR0031239,trabajador,Zona 1,ACTIVA
110,2026-06-01T10:39:00,INSERT,TC-00045054,trabajador,Villa Nueva,ACTIVA
111,2026-06-01T08:36:00,INSERT,TC-00018688,trabajador,Santa Catarina Pinula,ACTIVA
112,2026-06-01T05:01:00,INSERT,TC-00045143,general,Zona 6,ACTIVA
113,2026-06-01T11:04:00,INSERT,TC-00059804,trabajador,Mixco,ACTIVA
114,2026-06-01T06:24:00,INSERT,TC-00009160,general,Mixco,ACTIVA
115,2026-06-01T04:07:00,INSERT,TC-00059497,trabajador,Mixco,ACTIVA
116,2026-06-01T22:38:00,INSERT,TC-00051752,trabajador,Zona 4,ACTIVA
117,2026-06-01T12:35:00,INSERT,0000028758,adulto_mayor,Villa Nueva,ACTIVA
118,2026-06-01T13:03:00,INSERT,TC-00051574,trabajador,Zona 17,ACTIVA
119,2026-06-01T01:26:00,INSERT,TC-00041657,trabajador,Zona 13,ACTIVA
120,2026-06-01T21:23:00,INSERT,TC-00048348,trabajador,Zona 18,ACTIVA
121,2026-06-01T08:10:00,INSERT,TC-00002775,estudiante,Zona 12,ACTIVA
122,2026-06-01T10:10:00,INSERT,TC-00015897,estudiante,Zona 9,ACTIVA
123,2026-06-01T21:26:00,INSERT,TC-00011077,general,Santa Catarina Pinula,ACTIVA
124,2026-06-01T09:42:00,INSERT,TC-00043654,general,San Miguel Petapa,ACTIVA
125,2026-06-01T17:41:00,INSERT,MR0022011,trabajador,Zona 6,ACTIVA
126,2026-06-01T11:50:00,INSERT,SIN-TARJETA,trabajador,Zona 6,ACTIVA
127,2026-06-01T21:26:00,INSERT,TC-00019622,trabajador,Zona 10,ACTIVA
128,2026-06-01T18:07:00,INSERT,TC-00043729,trabajador,San Miguel Petapa,ACTIVA
129,2026-06-01T20:22:00,INSERT,TC-00000614,estudiante,Zona 11,ACTIVA
130,2026-06-01T15:15:00,INSERT,SIN-TARJETA,trabajador,Zona 9,ACTIVA
131,2026-06-01T05:49:00,INSERT,TC-00011579,trabajador,Zona 1,ACTIVA
132,2026-06-01T00:12:00,INSERT,TC-00038914,trabajador,Zona 17,ACTIVA
133,2026-06-01T10:25:00,INSERT,TC-00042970,general,Zona 7,ACTIVA
134,2026-06-01T03:24:00,INSERT,TC-00018067,general,Zona 4,ACTIVA
135,2026-06-01T00:14:00,INSERT,TC-00023525,estudiante,Villa Nueva,ACTIVA
136,2026-06-01T06:34:00,INSERT,SIN-TARJETA,trabajador,Zona 4,ACTIVA
137,2026-06-01T21:45:00,INSERT,SIN-TARJETA,trabajador,Zona 11,ACTIVA
138,2026-06-01T07:48:00,INSERT,TC-00004352,estudiante,Zona 8,ACTIVA
139,2026-06-01T02:00:00,INSERT,TC-00045095,general,Zona 12,ACTIVA
140,2026-06-01T14:50:00,INSERT,SIN-TARJETA,trabajador,Zona 17,ACTIVA
141,2026-06-01T19:37:00,INSERT,TC-00031620,trabajador,Zona 11,ACTIVA
142,2026-06-01T02:52:00,INSERT,TC-00042516,trabajador,Santa Catarina Pinula,ACTIVA
143,2026-06-01T00:52:00,INSERT,SIN-TARJETA,general,Zona 10,ACTIVA
144,2026-06-01T23:34:00,INSERT,SIN-TARJETA,general,Zona 17,ACTIVA
145,2026-06-01T15:09:00,INSERT,TC-00015151,general,Santa Catarina Pinula,ACTIVA
146,2026-06-01T16:54:00,INSERT,TC-00043639,trabajador,Mixco,ACTIVA
147,2026-06-01T04:45:00,INSERT,TC-00026829,general,Zona 12,ACTIVA
148,2026-06-01T00:35:00,INSERT,0000054799,estudiante,Zona 1,ACTIVA
149,2026-06-01T06:45:00,INSERT,TC-00016731,trabajador,Santa Catarina Pinula,ACTIVA
150,2026-06-01T20:40:00,INSERT,0000003734,trabajador,Santa Catarina Pinula,ACTIVA
151,2026-06-01T17:48:00,INSERT,TC-00008964,trabajador,Zona 10,ACTIVA
152,2026-06-01T21:18:00,INSERT,TC-00025147,trabajador,San Miguel Petapa,ACTIVA
153,2026-06-01T11:55:00,INSERT,TC-00009057,trabajador,Zona 8,ACTIVA
154,2026-06-01T17:43:00,INSERT,TC-00046959,general,Zona 10,ACTIVA
155,2026-06-01T06:57:00,INSERT,TC-00023302,trabajador,Mixco,ACTIVA
156,2026-06-01T01:58:00,INSERT,SIN-TARJETA,estudiante,Zona 12,ACTIVA
157,2026-06-01T13:27:00,INSERT,TC-00056524,trabajador,Zona 11,ACTIVA
158,2026-06-01T23:08:00,INSERT,TC-00022063,estudiante,Zona 11,ACTIVA
159,2026-06-01T15:48:00,INSERT,TC-00000812,trabajador,Santa Catarina Pinula,ACTIVA
160,2026-06-01T18:18:00,INSERT,TC-00049890,general,San Miguel Petapa,ACTIVA
161,2026-06-01T13:06:00,INSERT,TC-00052433,estudiante,Zona 10,ACTIVA
162,2026-06-01T11:27:00,INSERT,0000056150,trabajador,Zona 1,ACTIVA
163,2026-06-01T21:14:00,INSERT,TC-00051395,trabajador,Zona 10,ACTIVA
164,2026-06-01T18:53:00,INSERT,0000010900,estudiante,Zona 9,ACTIVA
165,2026-06-01T12:41:00,INSERT,TC-00031257,trabajador,Zona 4,ACTIVA
166,2026-06-01T06:27:00,INSERT,TC-00045551,trabajador,Zona 8,ACTIVA
167,2026-06-01T07:16:00,INSERT,TC-00058668,estudiante,Zona 4,ACTIVA
168,2026-06-01T22:52:00,INSERT,SIN-TARJETA,general,Zona 6,ACTIVA
169,2026-06-01T17:26:00,INSERT,TC-00008267,trabajador,Zona 18,ACTIVA
170,2026-06-01T12:42:00,INSERT,TC-00019370,trabajador,Zona 6,ACTIVA
171,2026-06-01T08:22:00,INSERT,TC-00017438,trabajador,Zona 8,ACTIVA
172,2026-06-01T07:18:00,INSERT,TC-00051754,trabajador,Zona 11,ACTIVA
173,2026-06-01T00:02:00,INSERT,TC-00001912,adulto_mayor,Zona 7,ACTIVA
174,2026-06-01T17:24:00,INSERT,TC-00013221,adulto_mayor,Mixco,ACTIVA
175,2026-06-01T05:12:00,INSERT,TC-00012974,general,Zona 1,ACTIVA
176,2026-06-01T16:52:00,INSERT,TC-00031343,estudiante,Zona 12,ACTIVA
177,2026-06-01T03:50:00,INSERT,0000012132,general,Zona 7,ACTIVA
178,2026-06-01T06:31:00,INSERT,TC-00054331,trabajador,Zona 11,ACTIVA
179,2026-06-01T22:42:00,INSERT,MR0003779,trabajador,Zona 11,ACTIVA
180,2026-06-01T06:33:00,INSERT,0000008900,general,Zona 10,ACTIVA
181,2026-06-01T02:32:00,INSERT,TC-00000734,trabajador,Zona 11,ACTIVA
182,2026-06-01T16:07:00,INSERT,TC-00015534,trabajador,Zona 4,ACTIVA
183,2026-06-01T11:04:00,INSERT,TC-00039443,estudiante,Villa Nueva,ACTIVA
184,2026-06-01T13:13:00,INSERT,TC-00058056,trabajador,Zona 4,ACTIVA
185,2026-06-01T22:54:00,INSERT,TC-00014946,general,Zona 8,ACTIVA
186,2026-06-01T10:57:00,INSERT,TC-00052686,trabajador,Zona 1,ACTIVA
187,2026-06-01T00:27:00,INSERT,TC-00045547,trabajador,Zona 12,ACTIVA
188,2026-06-01T13:37:00,INSERT,TC-00007060,general,Zona 18,ACTIVA
189,2026-06-01T03:12:00,INSERT,SIN-TARJETA,trabajador,Zona 11,ACTIVA
190,2026-06-01T21:08:00,INSERT,0000043615,trabajador,Zona 12,ACTIVA
191,2026-06-01T12:57:00,INSERT,TC-00050918,estudiante,Villa Nueva,ACTIVA
192,2026-06-01T19:52:00,INSERT,TC-00053212,trabajador,Zona 18,ACTIVA
193,2026-06-01T07:25:00,INSERT,TC-00019235,trabajador,San Miguel Petapa,ACTIVA
194,2026-06-01T15:02:00,INSERT,TC-00047969,trabajador,Zona 18,ACTIVA
195,2026-06-01T19:46:00,INSERT,TC-00001447,trabajador,Zona 1,ACTIVA
196,2026-06-01T15:48:00,INSERT,TC-00041081,general,Zona 1,ACTIVA
197,2026-06-01T02:14:00,INSERT,TC-00052615,general,Zona 12,ACTIVA
198,2026-06-01T18:43:00,INSERT,0000032344,trabajador,Santa Catarina Pinula,ACTIVA
199,2026-06-01T01:42:00,INSERT,0000039905,general,Zona 18,ACTIVA
200,2026-06-01T22:20:00,INSERT,MR0047230,trabajador,San Miguel Petapa,ACTIVA
201,2026-06-01T03:42:00,INSERT,0000020736,trabajador,Zona 13,ACTIVA
202,2026-06-01T03:34:00,INSERT,SIN-TARJETA,trabajador,Zona 12,ACTIVA
203,2026-06-01T23:43:00,INSERT,0000011816,trabajador,Zona 17,ACTIVA
204,2026-06-01T19:56:00,INSERT,TC-00025726,trabajador,Mixco,ACTIVA
205,2026-06-01T20:36:00,INSERT,TC-00057907,estudiante,Zona 9,ACTIVA
206,2026-06-01T06:12:00,INSERT,SIN-TARJETA,estudiante,Zona 12,ACTIVA
207,2026-06-01T14:20:00,INSERT,TC-00014297,trabajador,Villa Nueva,ACTIVA
208,2026-06-01T10:04:00,INSERT,0000013579,general,Zona 4,ACTIVA
209,2026-06-01T01:02:00,INSERT,TC-00004459,trabajador,Zona 1,ACTIVA
210,2026-06-01T14:30:00,INSERT,TC-00042869,estudiante,Zona 17,ACTIVA
211,2026-06-01T02:12:00,INSERT,0000020834,general,Villa Nueva,ACTIVA
212,2026-06-01T14:55:00,INSERT,TC-00027179,general,Zona 13,ACTIVA
213,2026-06-01T16:52:00,INSERT,SIN-TARJETA,general,San Miguel Petapa,ACTIVA
214,2026-06-01T14:40:00,INSERT,TC-00047696,estudiante,Zona 4,ACTIVA
215,2026-06-01T06:30:00,INSERT,TC-00023266,general,Zona 10,ACTIVA
216,2026-06-01T23:10:00,INSERT,TC-00005129,trabajador,Zona 1,ACTIVA
217,2026-06-01T02:08:00,INSERT,TC-00040317,trabajador,Zona 6,ACTIVA
218,2026-06-01T00:01:00,INSERT,TC-00002311,trabajador,Zona 13,ACTIVA
219,2026-06-01T14:26:00,INSERT,TC-00014666,trabajador,Zona 17,ACTIVA
220,2026-06-01T07:18:00,INSERT,SIN-TARJETA,trabajador,Zona 9,ACTIVA
221,2026-06-01T04:42:00,INSERT,0000008097,estudiante,Zona 18,ACTIVA
222,2026-06-01T03:10:00,INSERT,TC-00040614,trabajador,Zona 9,ACTIVA
223,2026-06-01T13:10:00,INSERT,TC-00035079,general,Zona 18,ACTIVA
224,2026-06-01T22:53:00,INSERT,MR0042361,general,Zona 12,ACTIVA
225,2026-06-01T01:19:00,INSERT,TC-00031590,estudiante,Zona 9,ACTIVA
226,2026-06-01T12:56:00,INSERT,TC-00013798,general,Zona 13,ACTIVA
227,2026-06-01T19:23:00,INSERT,TC-00006766,trabajador,Zona 10,ACTIVA
228,2026-06-01T09:20:00,INSERT,TC-00007399,estudiante,Zona 8,ACTIVA
229,2026-06-01T00:11:00,INSERT,0000006591,general,Zona 4,ACTIVA
230,2026-06-01T06:19:00,INSERT,TC-00037330,trabajador,Zona 18,ACTIVA
231,2026-06-01T07:58:00,INSERT,TC-00021600,adulto_mayor,Santa Catarina Pinula,ACTIVA
232,2026-06-01T12:36:00,INSERT,TC-00040503,adulto_mayor,Zona 12,ACTIVA
233,2026-06-01T22:37:00,INSERT,0000007181,trabajador,Zona 4,ACTIVA
234,2026-06-01T10:01:00,INSERT,0000032101,trabajador,Zona 12,ACTIVA
235,2026-06-01T16:12:00,INSERT,TC-00047429,estudiante,Mixco,ACTIVA
236,2026-06-01T19:02:00,INSERT,TC-00007173,general,Zona 11,ACTIVA
237,2026-06-01T02:09:00,INSERT,TC-00028595,adulto_mayor,Zona 6,ACTIVA
238,2026-06-01T19:14:00,INSERT,0000014861,trabajador,Zona 6,ACTIVA
239,2026-06-01T10:37:00,INSERT,TC-00037280,general,Zona 7,ACTIVA
240,2026-06-01T14:35:00,INSERT,0000043317,estudiante,Zona 17,ACTIVA
241,2026-06-01T14:47:00,UPDATE,0000016590,estudiante,Zona 1,ACTIVA
242,2026-06-01T05:50:00,UPDATE,0000023210,general,Zona 4,ACTIVA
243,2026-06-01T23:02:00,UPDATE,MR0017949,general,Zona 1,ACTIVA
244,2026-06-01T15:05:00,UPDATE,TC-00047438,general,Zona 18,ACTIVA
245,2026-06-01T00:31:00,UPDATE,SIN-TARJETA,general,Zona 8,ACTIVA
246,2026-06-01T23:54:00,UPDATE,TC-00042336,trabajador,Zona 6,ACTIVA
247,2026-06-01T17:33:00,UPDATE,TC-00056318,adulto_mayor,Zona 17,ACTIVA
248,2026-06-01T02:35:00,UPDATE,0000054051,trabajador,Zona 11,ACTIVA
249,2026-06-01T02:55:00,UPDATE,0000046761,estudiante,Zona 12,ACTIVA
250,2026-06-01T04:45:00,UPDATE,TC-00050652,estudiante,Zona 17,ACTIVA
251,2026-06-01T12:00:00,UPDATE,SIN-TARJETA,general,Zona 4,ACTIVA
252,2026-06-01T21:00:00,UPDATE,TC-00000233,adulto_mayor,Zona 13,ACTIVA
253,2026-06-01T01:02:00,UPDATE,TC-00014763,adulto_mayor,Zona 10,ACTIVA
254,2026-06-01T15:42:00,UPDATE,TC-00006318,adulto_mayor,Zona 17,ACTIVA
255,2026-06-01T11:38:00,UPDATE,TC-00056059,adulto_mayor,Zona 4,ACTIVA
256,2026-06-01T21:30:00,UPDATE,0000003198,adulto_mayor,Mixco,ACTIVA
257,2026-06-01T09:28:00,UPDATE,TC-00044533,estudiante,Zona 18,ACTIVA
258,2026-06-01T10:35:00,UPDATE,TC-00052822,estudiante,Zona 13,ACTIVA
259,2026-06-01T13:56:00,UPDATE,SIN-TARJETA,general,Zona 17,ACTIVA
260,2026-06-01T17:38:00,UPDATE,TC-00016775,estudiante,Zona 10,ACTIVA
261,2026-06-01T14:17:00,UPDATE,TC-00014886,estudiante,Mixco,ACTIVA
262,2026-06-01T15:47:00,UPDATE,0000023294,adulto_mayor,Zona 10,ACTIVA
263,2026-06-01T17:41:00,UPDATE,TC-00027541,estudiante,Zona 9,ACTIVA
264,2026-06-01T08:47:00,UPDATE,0000007910,estudiante,Zona 1,ACTIVA
265,2026-06-01T03:08:00,UPDATE,TC-00050430,general,Zona 17,ACTIVA
266,2026-06-01T22:02:00,UPDATE,0000059615,trabajador,Zona 11,ACTIVA
267,2026-06-01T20:54:00,UPDATE,TC-00013786,trabajador,Zona 7,ACTIVA
268,2026-06-01T07:09:00,UPDATE,SIN-TARJETA,trabajador,Zona 10,ACTIVA
269,2026-06-01T03:23:00,UPDATE,SIN-TARJETA,trabajador,Zona 7,ACTIVA
270,2026-06-01T09:02:00,UPDATE,TC-00029054,general,San Miguel Petapa,ACTIVA
271,2026-06-01T07:54:00,UPDATE,TC-00013838,adulto_mayor,Zona 10,ACTIVA
272,2026-06-01T07:31:00,UPDATE,0000015381,estudiante,Zona 17,ACTIVA
273,2026-06-01T11:55:00,UPDATE,TC-00022783,trabajador,Zona 10,ACTIVA
274,2026-06-01T21:38:00,UPDATE,TC-00011973,estudiante,Santa Catarina Pinula,ACTIVA
275,2026-06-01T14:01:00,UPDATE,SIN-TARJETA,general,Zona 17,ACTIVA
276,2026-06-01T05:17:00,UPDATE,TC-00037823,estudiante,Zona 18,ACTIVA
277,2026-06-01T04:28:00,UPDATE,TC-00053308,adulto_mayor,Zona 4,ACTIVA
278,2026-06-01T15:22:00,UPDATE,TC-00010420,trabajador,Zona 13,ACTIVA
279,2026-06-01T23:31:00,UPDATE,TC-00058358,adulto_mayor,Zona 17,ACTIVA
280,2026-06-01T07:28:00,UPDATE,TC-00002344,estudiante,Zona 12,ACTIVA
281,2026-06-01T03:52:00,UPDATE,TC-00017439,trabajador,Zona 7,ACTIVA
282,2026-06-01T12:26:00,UPDATE,TC-00043732,general,San Miguel Petapa,ACTIVA
283,2026-06-01T07:11:00,UPDATE,TC-00003594,trabajador,Zona 17,ACTIVA
284,2026-06-01T20:48:00,UPDATE,TC-00028340,estudiante,Zona 10,ACTIVA
285,2026-06-01T18:02:00,UPDATE,TC-00020505,adulto_mayor,Zona 13,ACTIVA
286,2026-06-01T02:48:00,UPDATE,SIN-TARJETA,adulto_mayor,Zona 8,ACTIVA
287,2026-06-01T08:01:00,UPDATE,TC-00022704,adulto_mayor,Mixco,ACTIVA
288,2026-06-01T09:50:00,UPDATE,TC-00052630,estudiante,San Miguel Petapa,ACTIVA
289,2026-06-01T02:58:00,UPDATE,0000043741,adulto_mayor,Zona 7,ACTIVA
290,2026-06-01T05:24:00,UPDATE,TC-00026025,estudiante,San Miguel Petapa,ACTIVA
291,2026-06-01T20:54:00,UPDATE,TC-00047130,trabajador,Zona 12,ACTIVA
292,2026-06-01T20:35:00,UPDATE,TC-00042083,adulto_mayor,Zona 10,ACTIVA
293,2026-06-01T13:12:00,UPDATE,0000003277,estudiante,Zona 13,ACTIVA
294,2026-06-01T12:51:00,UPDATE,TC-00023314,trabajador,Zona 6,ACTIVA
295,2026-06-01T02:37:00,UPDATE,TC-00012147,estudiante,Zona 13,ACTIVA
296,2026-06-01T13:42:00,UPDATE,TC-00007736,trabajador,Zona 11,ACTIVA
297,2026-06-01T17:27:00,UPDATE,0000047129,estudiante,San Miguel Petapa,ACTIVA
298,2026-06-01T02:58:00,UPDATE,MR0005748,estudiante,San Miguel Petapa,ACTIVA
299,2026-06-01T22:29:00,UPDATE,0000027543,adulto_mayor,Zona 18,ACTIVA
300,2026-06-01T06:59:00,UPDATE,TC-00038849,estudiante,Zona 18,ACTIVA
301,2026-06-01T20:23:00,UPDATE,TC-00037159,adulto_mayor,Zona 9,ACTIVA
302,2026-06-01T23:20:00,UPDATE,TC-00057199,trabajador,Zona 1,ACTIVA
303,2026-06-01T00:01:00,UPDATE,SIN-TARJETA,adulto_mayor,Zona 4,ACTIVA
304,2026-06-01T12:44:00,UPDATE,TC-00044404,general,Zona 4,ACTIVA
305,2026-06-01T15:13:00,UPDATE,TC-00017476,general,Zona 8,ACTIVA
306,2026-06-01T20:39:00,UPDATE,0000048095,general,Zona 13,ACTIVA
